0,1,2,simulation_request_id,dynamicMinScoreConfigVersion,dynamicMinScoreConfigId,blockConstraintConfigId,blockConstraintConfigVersion,"deviceType=mobile_app,pageSuffix=pageOne,KPI=eRevenueDebiasedLift","pageSuffix=pageOne,placementWidgetName=sp_phoneapp_search_mtf,KPI=avgECtrDebiasedLift","pageSuffix=pageOne,placementWidgetName=sp_phoneapp_search_mtf,KPI=avgPIrrel","pageSuffix=pageOne,placementWidgetName=sp_phoneapp_search_mtf,KPI=impressionsLift"
0.0296875,0.0043125,1.0,84229938-659e-406b-a0ba-3ae318b82828,0,28,1,0,-0.19456995330245808,0.30131685780224005,0.13245536455468146,-0.6902134117046761
0.0284375,0.0015625,1.0,84229938-659e-406b-a0ba-3ae318b82828,0,21,1,0,-0.19558687405506456,0.22648085565228704,0.13188990503492642,-0.6923968973960525
0.0365625,0.0029375,1.0,84229938-659e-406b-a0ba-3ae318b82828,0,35,1,0,-0.1949562689503801,0.23264877380135876,0.13245536455468146,-0.6902134117046761
0.02046875,0.00259375,1.0,84229938-659e-406b-a0ba-3ae318b82828,0,49,1,0,-0.1944568169082012,0.2997354471723146,0.1324553645546815,-0.6902134117046761
0.021875,0.002875,1.0,84229938-659e-406b-a0ba-3ae318b82828,0,1,1,0,-0.1944942339214002,0.29995829370825633,0.13245536455468146,-0.6902134117046761
0.0290625,0.0024375,1.0,84229938-659e-406b-a0ba-3ae318b82828,0,37,1,0,-0.1944650954013428,0.2561361159653939,0.1324553645546815,-0.6902134117046761
0.0271875,0.0028125,1.0,84229938-659e-406b-a0ba-3ae318b82828,0,29,1,0,-0.19414810943088712,0.2820558054489528,0.13245536455468146,-0.6902134117046761
0.0253125,0.0011875,1.0,84229938-659e-406b-a0ba-3ae318b82828,0,45,1,0,-0.19722525176133252,0.3625281533528213,0.11913326169036625,-0.7315770465622525
0.0334375,0.0025625,1.0,84229938-659e-406b-a0ba-3ae318b82828,0,23,1,0,-0.19491117977396755,0.23718504325300585,0.13245536455468146,-0.6902134117046761
0.0203125,0.0041875,1.0,84229938-659e-406b-a0ba-3ae318b82828,0,48,1,0,-0.1946420593980264,0.3075362195582767,0.1324553645546814,-0.6902134117046761
0.025625,0.002125,1.0,84229938-659e-406b-a0ba-3ae318b82828,0,13,1,0,-0.19439711871171386,0.2631442157625441,0.13245536455468146,-0.6902134117046761
0.0353125,0.0031875,1.0,84229938-659e-406b-a0ba-3ae318b82828,0,46,1,0,-0.19436062775331486,0.2521307778892907,0.1324553645546815,-0.6902134117046761
0.024375,0.004375,1.0,84229938-659e-406b-a0ba-3ae318b82828,0,8,1,0,-0.19464205939802728,0.3075362195582767,0.13245536455468146,-0.6902134117046761
0.0309375,0.0040625,1.0,84229938-659e-406b-a0ba-3ae318b82828,0,18,1,0,-0.1944972673216213,0.29410432240900386,0.1324553645546815,-0.6902134117046761
0.0228125,0.0026875,1.0,84229938-659e-406b-a0ba-3ae318b82828,0,41,1,0,-0.19432255421108655,0.29507219375833604,0.1324553645546815,-0.6902134117046761
0.0209375,0.0020625,1.0,84229938-659e-406b-a0ba-3ae318b82828,0,17,1,0,-0.19418121319961207,0.28763337126238553,0.1324553645546814,-0.6902134117046761
0.0378125,0.0016875,1.0,84229938-659e-406b-a0ba-3ae318b82828,0,43,1,0,-0.2029557593947927,0.4354463513906446,0.10676666503621303,-0.7718737885630411
0.038125,0.002625,1.0,84229938-659e-406b-a0ba-3ae318b82828,0,11,1,0,-0.1953708131756884,0.2160407190414091,0.13245536455468152,-0.6902134117046761
0.030625,0.001125,1.0,84229938-659e-406b-a0ba-3ae318b82828,0,15,1,0,-0.20662856266014729,0.5698516632418591,0.0978764174713429,-0.8013823220492295
0.0396875,0.0023125000000000003,1.0,84229938-659e-406b-a0ba-3ae318b82828,0,27,1,0,-0.19638953772034493,0.1894916561145528,0.13245536455468146,-0.6902134117046761
0.0259375,0.0030625,1.0,84229938-659e-406b-a0ba-3ae318b82828,0,20,1,0,-0.19430456551878506,0.2925201052070323,0.1324553645546815,-0.6902134117046761
0.0384375,0.0035625,1.0,84229938-659e-406b-a0ba-3ae318b82828,0,22,1,0,-0.19430993948617706,0.2509189033241852,0.13245536455468146,-0.6902134117046761
0.029375,0.001375,1.0,84229938-659e-406b-a0ba-3ae318b82828,0,5,1,0,-0.1983523135511233,0.37084016452957824,0.11673233263653325,-0.7398703161912588
0.0340625,0.0014375,1.0,84229938-659e-406b-a0ba-3ae318b82828,0,39,1,0,-0.2035915996118852,0.4797505678498026,0.1042727836125536,-0.7800444649134723
0.026875,0.003875,1.0,84229938-659e-406b-a0ba-3ae318b82828,0,4,1,0,-0.1945656736842143,0.3018371148182681,0.1324553645546815,-0.6902134117046761
0.0265625,0.0049375,1.0,84229938-659e-406b-a0ba-3ae318b82828,0,36,1,0,-0.19464205939802348,0.3075362195582767,0.13245536455468146,-0.6902134117046761
0.035625000000000004,0.004125,1.0,84229938-659e-406b-a0ba-3ae318b82828,0,14,1,0,-0.19421139613568936,0.2821274073206399,0.13245536455468154,-0.6902134117046761
0.020625,0.003125,1.0,84229938-659e-406b-a0ba-3ae318b82828,0,16,1,0,-0.1945698838944837,0.3056609573074056,0.13245536455468152,-0.6902134117046761
0.033125,0.003625,1.0,84229938-659e-406b-a0ba-3ae318b82828,0,10,1,0,-0.19417321403629528,0.27906462840991497,0.1324553645546814,-0.6902134117046761
0.0240625,0.0034375,1.0,84229938-659e-406b-a0ba-3ae318b82828,0,40,1,0,-0.19456589499479093,0.3022997466304882,0.1324553645546815,-0.6902134117046761
0.036875000000000005,0.001875,1.0,84229938-659e-406b-a0ba-3ae318b82828,0,3,1,0,-0.1979083173904864,0.2849895067869499,0.12224496234195685,-0.7220412774882294
0.023125,0.001625,1.0,84229938-659e-406b-a0ba-3ae318b82828,0,9,1,0,-0.1945158412133852,0.259457155709558,0.13245536455468146,-0.6902134117046761
0.039375,0.003375,1.0,84229938-659e-406b-a0ba-3ae318b82828,0,6,1,0,-0.1947818432802704,0.23443726547289434,0.13245536455468146,-0.6902134117046761
0.0359375,0.0010625,1.0,84229938-659e-406b-a0ba-3ae318b82828,0,19,1,0,-0.2192728876760075,0.7266200994735059,0.08447599587427798,-0.8532624722094291
0.0246875,0.0013125,1.0,84229938-659e-406b-a0ba-3ae318b82828,0,25,1,0,-0.19540103134766307,0.261331321477017,0.12981428312122764,-0.6989506678020351
0.034375,0.002375,1.0,84229938-659e-406b-a0ba-3ae318b82828,0,7,1,0,-0.1951158592032152,0.22636380640576334,0.1324553645546814,-0.6902134117046761
0.0215625,0.0019375,1.0,84229938-659e-406b-a0ba-3ae318b82828,0,33,1,0,-0.19418921050329765,0.2796502819296207,0.1324553645546815,-0.6902134117046761
0.0234375,0.004562500000000001,1.0,84229938-659e-406b-a0ba-3ae318b82828,0,24,1,0,-0.1946420593980124,0.3075362195582767,0.13245536455468154,-0.6902134117046761
0.0221875,0.0038125,1.0,84229938-659e-406b-a0ba-3ae318b82828,0,32,1,0,-0.1946420593980137,0.30753621955827715,0.1324553645546815,-0.6902134117046761
0.0278125,0.0036875,1.0,84229938-659e-406b-a0ba-3ae318b82828,0,44,1,0,-0.1944984380489708,0.29669210246622524,0.1324553645546815,-0.6902134117046761
0.0346875,0.0033125,1.0,84229938-659e-406b-a0ba-3ae318b82828,0,26,1,0,-0.19418525529235495,0.26220272789970345,0.1324553645546815,-0.6902134117046761
0.0315625,0.0039375,1.0,84229938-659e-406b-a0ba-3ae318b82828,0,34,1,0,-0.19442325087529888,0.2911459318228853,0.13245536455468146,-0.6902134117046761
0.0371875,0.0048125,1.0,84229938-659e-406b-a0ba-3ae318b82828,0,30,1,0,-0.19451378347517867,0.28873400909975144,0.1324553645546815,-0.6902134117046761
0.0390625,0.0044375000000000005,1.0,84229938-659e-406b-a0ba-3ae318b82828,0,38,1,0,-0.19419349361648294,0.27628311027086805,0.13245536455468154,-0.6902134117046761
0.031875,0.004875,1.0,84229938-659e-406b-a0ba-3ae318b82828,0,2,1,0,-0.1945632242076598,0.30424050688879745,0.13245536455468146,-0.6902134117046761
0.030468750000000006,0.004593750000000001,1.0,84229938-659e-406b-a0ba-3ae318b82828,0,50,1,0,-0.1945612263807529,0.303593322627338,0.1324553645546815,-0.6902134117046761
0.0321875,0.0018125,1.0,84229938-659e-406b-a0ba-3ae318b82828,0,31,1,0,-0.1958132291810598,0.20843093361479825,0.13245536455468146,-0.6902134117046761
0.0303125,0.0021875,1.0,84229938-659e-406b-a0ba-3ae318b82828,0,47,1,0,-0.1948075862291475,0.24112208367653,0.1324553645546814,-0.6902134117046761
0.0328125,0.004687500000000001,1.0,84229938-659e-406b-a0ba-3ae318b82828,0,42,1,0,-0.19458846198982796,0.29868076302248725,0.1324553645546815,-0.6902134117046761
0.028125,0.004625000000000001,1.0,84229938-659e-406b-a0ba-3ae318b82828,0,12,1,0,-0.19462792800159726,0.30738882905689024,0.13245536455468146,-0.6902134117046761
